dt_leitura;coordenadaId;termopar_1;termopar_2;termopar_3;termopar_amb
2021-09-13 00:00:00.92;1;112.10;93.50;110.20;26.10
2021-09-13 00:00:00.93;1;112.00;93.50;110.30;26.00
2021-09-13 00:00:00.94;1;111.90;93.50;110.60;26.10
2021-09-13 00:00:00.95;1;111.90;93.50;110.80;26.10
2021-09-13 00:00:00.96;1;111.90;93.60;110.80;26.10
2021-09-13 00:00:00.97;1;111.90;93.50;110.70;26.10
2021-09-13 00:00:00.98;1;112.00;93.50;111.00;26.10
2021-09-13 00:00:00.99;1;111.90;93.40;111.00;26.10
2021-09-13 00:00:01.00;1;112.00;93.30;111.10;26.20
2021-09-13 00:00:01.01;1;111.90;93.40;111.20;26.10
2021-09-13 00:00:01.02;1;112.00;93.50;111.00;26.20
2021-09-13 00:00:01.03;1;111.90;93.50;111.00;26.20
2021-09-13 00:00:01.04;1;111.90;93.60;110.80;26.20
2021-09-13 00:00:01.05;1;112.00;93.70;110.40;26.20
2021-09-13 00:00:01.06;1;112.00;93.70;110.20;26.20
2021-09-13 00:00:01.07;1;112.10;93.60;110.40;26.20
2021-09-13 00:00:01.08;1;112.10;93.60;110.50;26.20
2021-09-13 00:00:01.09;1;112.10;93.60;110.60;26.30
2021-09-13 00:00:01.10;1;112.10;93.60;110.60;26.20
2021-09-13 00:00:01.11;1;112.10;93.50;110.40;26.30
2021-09-13 00:00:01.12;1;112.10;93.60;110.90;26.20
2021-09-13 00:00:01.13;1;112.00;93.60;110.90;26.30
2021-09-13 00:00:01.14;1;112.10;93.70;110.80;26.30
2021-09-13 00:00:01.15;1;112.10;93.50;110.70;26.20
2021-09-13 00:00:01.16;1;112.20;93.60;111.00;26.20
2021-09-13 00:00:01.17;1;112.10;93.70;110.60;26.30
2021-09-13 00:00:01.18;1;112.00;93.40;111.20;26.30
2021-09-13 00:00:01.19;1;108.10;90.10;103.80;26.20
2021-09-13 00:00:01.20;1;98.50;82.50;90.60;26.20
2021-09-13 00:00:01.21;1;85.20;75.70;79.80;26.20
2021-09-13 00:00:01.22;1;77.00;66.00;66.20;26.30
2021-09-13 00:00:01.23;1;66.40;60.40;59.30;26.20
2021-09-13 00:00:01.24;1;59.40;55.20;53.20;26.10
2021-09-13 00:00:01.25;1;54.90;49.50;47.10;26.20
2021-09-13 00:00:01.26;1;49.70;46.90;44.60;26.20
2021-09-13 00:00:01.27;1;47.00;43.80;42.00;26.20
